conjecture_id,found,elapsed_s,violation_score,graph6
886,True,1.8182,0.0,>>graph6<<K~~~~~~~~~~~
980,True,0.001,1.5,>>graph6<<@
981,True,0.0009,1.0,>>graph6<<@
1177,True,0.0009,0.8,>>graph6<<@
1178,True,0.0023,0.6,>>graph6<<@
1191,True,1.6152,0.569543,>>graph6<<K??F~z{~Fw^_
1466,True,0.1089,0.486714,>>graph6<<Bo
1566,True,2.975,1.0,>>graph6<<PhE?GC@?G?o??@??_?G?@??C
1587,True,7.9084,1.0,>>graph6<<Ci
1588,True,7.3299,2.276471,>>graph6<<PhE?GC@?G?o??@OO_?G?@??C
1600,True,7.4059,0.816667,>>graph6<<BW
1601,True,7.7401,1.95,>>graph6<<GICLA?
1708,True,2.7564,1.0,>>graph6<<PhE?GC@?G?o??@??_?G?@??C
1880,True,0.0009,4.0,>>graph6<<@
1891,True,7.9124,0.816667,>>graph6<<Bo
2041,True,0.0009,1.0,>>graph6<<@
2051,True,0.001,1.0,>>graph6<<@
2117,True,0.0009,8.343857,>>graph6<<@
2120,True,7.5017,0.816667,>>graph6<<BW
2121,True,7.4129,3.273529,>>graph6<<PhE?GC@?G?o??@??_?G?@??C
4247,True,0.0017,8.0,>>graph6<<@
4668,True,0.0027,8.343857,>>graph6<<@
4712,True,0.0086,2.0,>>graph6<<@
5952,True,4.2339,1.0,>>graph6<<XdGK_W@[A@_op@IIEMCdQ?xGCnPSIS}?b@agy?oiYoAGR`PLDh?
5994,True,0.0013,9.772429,>>graph6<<@
5996,True,0.0012,5.172429,>>graph6<<@
5998,True,0.0029,3.772429,>>graph6<<@
6000,True,0.0021,9.772429,>>graph6<<@
6179,True,4.4285,4.685714,>>graph6<<GG|gqC
6180,True,0.0009,0.444444,>>graph6<<@
6181,True,0.0008,0.166667,>>graph6<<@
6182,True,0.0007,0.567017,>>graph6<<@
6267,True,4.3147,2.492857,>>graph6<<GK|koG
6268,True,0.0009,1.0,>>graph6<<@
6269,True,0.0008,0.324324,>>graph6<<@
6272,True,0.0008,1.4,>>graph6<<@
6278,True,11.7526,3.153365,>>graph6<<Vd?o???cG@?DAq?J?DhhZ?Ao?nw?K[__A??????G?@??
6352,True,0.0009,0.777778,>>graph6<<@
6574,True,4.4733,1.38,>>graph6<<ElG_
6582,True,4.457,0.816667,>>graph6<<Bo
6903,True,4.5571,1.0,>>graph6<<CX
688,True,35.4942,6.903695,>>graph6<<SSHSo~M@oXqtWmoZTBmkKneAxvkpF^RQw
713,True,7.8706,0.658425,>>graph6<<D~{
737,True,0.0963,0.933981,>>graph6<<A_
1021,True,1.4799,2.045455,>>graph6<<J?~vfbo{F_?
1337,True,1.5209,0.090909,>>graph6<<J?~vfbo{F_?
1591,True,0.001,0.535714,>>graph6<<@
1729,True,0.0008,0.36,>>graph6<<@
1793,True,0.0008,0.2749,>>graph6<<@
1892,True,7.4988,2.294444,>>graph6<<HQ@_Oe?
1917,True,0.0008,0.438462,>>graph6<<@
1919,True,0.0009,0.309441,>>graph6<<@
2129,True,0.0008,0.438462,>>graph6<<@
2131,True,0.0048,0.309441,>>graph6<<@
2252,True,7.4508,6.150849,>>graph6<<QhE?GC@?G?o??@????G?@??C?B?
2882,True,0.0366,0.25,>>graph6<<Bo
3144,True,0.0013,6.666667,>>graph6<<@
3157,True,0.0014,11.8,>>graph6<<@
3191,True,0.0011,6.333333,>>graph6<<@
3193,True,0.0012,11.8,>>graph6<<@
3368,True,0.0008,17.99914,>>graph6<<@
3384,True,0.0007,17.99914,>>graph6<<@
3550,True,7.1665,1.886986,>>graph6<<Q~[ww[F?wB_F?F?B_?{?Fo?^_?w
3961,True,1.6532,0.585978,>>graph6<<K~~~~~~~~~~~
